30681,1,4228,4299,4570938
40647,1,5038,5054,5355323
16235,1,4685,4543,4938920
33413,1,4919,4845,5154862
38725,1,4796,4741,5132961
16718,1,4890,5259,5497653
18083,1,4200,4393,4746218
18281,1,4209,4321,4629812
20713,1,4159,4272,4558953
28965,1,4319,4272,4558947
33775,1,4084,4280,4578159
313,1,5379,4902,5231428
30031,1,4160,4309,4630707
13960,1,4989,5005,5246055
33409,1,5123,4987,5209548
42749,1,4763,4924,5153435
13959,1,4384,4323,4643538
33373,1,4443,4328,4700560
33411,1,4892,4862,5132068
43693,1,4757,4816,5108383
33875,1,4653,4722,5029323
32511,1,5354,5338,5524860
32513,1,5732,5690,5766081
32571,1,4824,4873,5069678
27739,1,5477,5548,5704171
259,1,5449,5420,5620522
226,1,5447,5398,5594477
30045,1,5373,5444,5622737
32509,1,5795,5771,5855531
42729,1,5121,5151,5452353
41221,1,4582,4542,4894879
33375,1,4991,4887,5166121
18057,1,5002,4895,5155626
19053,1,4488,4448,4839683
19469,1,4913,4822,5215377
20079,1,4200,4398,4686137
225,1,4319,4313,4639675
16351,1,4337,4326,4646332
50883,1,4783,4804,5107563
33415,1,5107,5021,5358200
16259,1,5211,4839,5179971
48011,1,4700,4705,5008864
15637,1,4557,5121,4874659
13146,1,4290,4822,4646520
13145,1,4508,5217,4560911
33639,1,4706,5091,4894492
408,1,4073,4720,4599354
310,1,4705,5006,4828821
16375,1,4116,4680,4574284
13151,1,4476,5105,5055316
15630,262,4626,5579,5495385
51097,86,0,5362,5498865
51085,68,0,5532,5657864
16193,91,4205,4867,4979767
40289,86,5772,5564,5554557
40291,180,5230,5137,5277070
40257,35,4707,4654,4803089
51123,207,0,5758,5602529
51127,27,0,4579,4757936
40275,83,5220,5027,5173444
51129,51,0,4810,4950291
51131,21,0,4709,4927221
40265,127,5092,5189,5223419
51109,125,0,5920,5830788
51121,96,0,5958,5860313
51115,79,0,5309,5370927
15639,2,376,5287,5371790
31467,159,5255,4803,5066014
51117,33,0,4876,5102049
51137,63,0,5552,5556164
51095,47,0,4486,4786951
51087,94,0,5561,5475907
51091,76,0,5500,5445504
51099,133,0,5048,5230651
51103,40,0,4899,5209988
38905,148,0,4715,4944201
38915,115,0,4755,5106858
38917,69,0,4474,4831934
51135,34,0,4843,5032803
15572,289,4404,5277,5300242
15578,137,4593,5323,5376211
38941,87,4597,4706,4918295
40269,284,5385,5403,5221267
38945,127,4613,4749,4896881
15577,127,4828,5418,5528238
38949,94,4528,4660,4833169
61479,42,4910,4971,5111899
40267,199,5844,5590,5435297
15576,119,4318,4925,5215961
39915,149,0,5155,5291786
39917,137,0,5021,5194603
38971,172,4866,4981,5044811
38981,112,4996,5098,5260709
38985,165,5011,5008,5192679
38991,229,0,5098,5248906
39013,141,4622,4680,4832506
39021,190,0,4811,4918687
39033,135,0,4445,4652606
51111,162,0,5497,5397192
40261,63,5567,5383,5189427
39039,162,0,5340,5446689
39043,188,0,5127,5365946
39045,152,4953,5055,5250401
40713,72,4625,4638,4905150
47225,411,5415,4841,5063123
47227,423,5020,4594,4797820
47229,484,5158,4621,4840256
47231,467,5371,4900,5013840
40709,130,5071,4814,4968686
40707,176,5668,5293,5394127
40703,143,5124,4978,5115051
47241,355,4953,4516,4740105
47257,507,5465,4878,5087744
47259,451,5289,4743,4952805
47263,413,4866,4429,4673288
47265,456,5315,4849,4982225
47267,378,5160,4659,4939390
47269,310,4453,4112,4384173
47271,785,5586,5233,5214638
47273,564,5604,5105,5236490
47275,445,5342,4765,5042708
47205,540,5742,5259,5282923
47207,396,5233,4702,4994869
47209,408,5225,4767,4938310
47211,464,5645,5025,5196275
47213,425,5426,4952,5207549
47217,410,4990,4536,4752681
40701,157,0,4719,4900086
47219,432,5709,5109,5287926
40699,234,5537,5345,5457657
47121,27,4698,4660,5021144
60059,204,4692,4864,5054824
60061,209,4631,4864,5048194
61463,70,5352,5329,5487708
61473,57,5449,5393,5569621
61465,32,4914,5302,5510053
42809,277,0,5076,5194891
27747,364,0,6332,6199307
27737,3,1398,5488,5617728
27733,7,2548,5467,5634850
27745,135,4745,5613,5705645
42813,881,0,5705,5298036
27743,231,4735,5705,5655847
42815,791,0,5527,5296992
42817,267,0,5067,5201104
42811,958,0,5684,5349693
27741,186,4596,5565,5620606
42819,1583,0,6490,5287055
27735,6,1084,5555,5629932
27749,186,4581,5701,5733133
27751,165,4954,5872,5933166
27753,250,4626,5715,5677181
27755,272,4701,5640,5656666
42821,678,0,5398,5262452
27757,147,4761,5648,5731065
36543,247,0,5325,5408690
32275,316,0,5343,5376914
60057,216,4679,4780,4971794
60067,189,4627,4820,5048276
28847,10,8972,10944,11249113
60063,188,4684,4865,5083624
60065,154,4669,4877,5105283
41499,2939,0,6135,4418649
40279,73,4935,4919,5061577
48269,29,5072,4875,5195834
51747,52,0,4339,4607632
39063,232,5065,5277,5252119
39079,168,0,4599,4829725
39085,187,0,4902,5055289
39091,191,0,4934,5020687
39093,168,0,5210,5258161
51133,35,0,4383,4650895
39103,92,4878,5099,5353500
59743,310,0,5269,5243318
59745,405,0,5838,5689893
59747,227,0,5181,5280267
59749,153,0,5186,5305843
59751,155,0,5171,5210696
42709,88,4268,4716,4941083
61477,28,4434,4424,4681497
60773,110,5125,5379,5129830
16194,189,4019,5499,5235535
48263,67,5833,5348,4613557
60771,242,4644,4921,4596141
48255,71,5233,5029,4825496
60775,209,4811,4960,4682763
48265,150,5756,5636,5185984
